Country,Amount spent,Impressions,Visits,Emails,Paywalls,CPM,CTR,CPC,CR into email enter,CR into paywall view,CR into purchase,CPA,LTV,ROMI
Papua New Guinea,103.8,108100,821,197,136,0.9602220166512488,0.00759481961147086,0.1,0.23995127892813642,0.1656516443361754,0.020706455542021926,17.3,34.24149019607843,2.235356454720616
Poland,3049.1,559229,16543,3188,1726,5.452328116031179,0.02958179922715024,0.1,0.19270990751375203,0.10433415946321707,0.01686513933385722,26.746491228070173,50.71310256410256,0.6205470466695091
Portugal,2054.7,379323,8214,2008,1069,5.416755640970887,0.02165436844061657,0.2,0.24446067689310932,0.13014365717068418,0.021061602142683225,21.403125,15.087230769230768,0.16526500219010085
Paraguay,93.1,41032,534,125,59,2.268960811074283,0.013014232793916943,0.1,0.2340823970037453,0.1104868913857678,0.00749063670411985,46.55,11.033999999999997,-0.33447905477980666
French Polynesia,99.2,45805,541,107,56,2.1657024342320708,0.011810937670559983,0.1,0.1977818853974122,0.10351201478743069,0.0166358595194085,99.2,190.0512222222222,1.4285282258064513
Qatar,210.7,36387,907,257,127,5.790529584741803,0.024926484733558688,0.1,0.28335170893054024,0.14002205071664828,0.027563395810363836,23.41111111111111,23.941846153846154,1.3196487897484577
Reunion,70.3,30448,326,73,29,2.3088544403573303,0.010706778770362585,0.1,0.22392638036809817,0.08895705521472393,0.03067484662576687,23.433333333333334,30.515666666666664,2.028449502133712
Romania,3302.5,636398,15008,4309,2088,5.189362631560753,0.02358272653276723,0.2,0.287113539445629,0.13912579957356078,0.018656716417910446,21.584967320261438,17.176240506329112,0.17795609386828154
Saudi Arabia,269.1,46631,1059,283,166,5.7708391413437425,0.02271021423516545,0.1,0.267233238904627,0.15675165250236073,0.015108593012275733,38.44285714285714,12.111749999999999,0.028762541806019885
Senegal,60.7,42289,336,77,38,1.4353614415096125,0.007945328572442007,0.1,0.22916666666666666,0.1130952380952381,0.06547619047619048,10.116666666666667,45.633878787878785,7.002965403624382
Slovakia,696.8,115987,3129,635,353,6.007569813858449,0.02697716123358652,0.2,0.2029402364972835,0.11281559603707254,0.015340364333652923,24.02758620689655,5.849915032679738,-0.14104477611940294
Slovenia,887.0,127974,3428,779,393,6.931095378748808,0.026786691046618846,0.2,0.22724620770128354,0.11464410735122521,0.021878646441073513,23.972972972972972,11.549293172690762,0.2359075535512965
Sweden,3049.5,186160,8064,1327,748,16.381070047271162,0.04331757627847013,0.3,0.16455853174603174,0.09275793650793651,0.019717261904761904,49.185483870967744,25.986666666666665,-0.025935399245778045
Sint Maarten,48.7,20309,221,64,34,2.3979516470530307,0.010881875030774533,0.1,0.2895927601809955,0.15384615384615385,0.03167420814479638,24.35,61.218444444444444,2.1197125256673504
Seychelles,63.3,47333,363,113,58,1.3373333615025458,0.007669068092028817,0.1,0.31129476584022037,0.15977961432506887,0.01652892561983471,31.65,81.22719047619047,4.717851500789889
Turks and Caicos Islands,52.4,23044,201,56,31,2.2739107793785798,0.008722444020135393,0.2,0.27860696517412936,0.15422885572139303,0.01990049751243781,26.2,8.261333333333333,0.18244274809160296
Togo,15.5,12270,107,32,18,1.263243683781581,0.008720456397718011,0.1,0.29906542056074764,0.16822429906542055,0.028037383177570093,15.5,22.355666666666668,2.9335483870967742
